cisGene.Symbol,transGene.Symbol
NRXN1,NKX6-2
TCAIM,PIPOX
NMUR1,CTD-2529O21.2
KIF16B,RP11-244F12.2
ANKRD40,KPRP
TWISTNB,MRPS30
PPP5C,CABP4
ZDHHC16,SLC39A7
PP2D1,WBSCR17
TMEM110,RP11-295P9.2
HKR1,DIRC2
ST3GAL1,P2RX1
AC005363.9,HNRNPUL2
CELA3A,CLPS
CELA3B,CLPS
RP11-879F14.2,ELMO2
SCARA5,ZNF552
RP11-632K20.2,RP11-932O9.9
SDHD,SLC15A2
PIGF,RP11-326C3.10
CNTNAP3B,GXYLT1P6
FAM105A,HGSNAT
AMPD3,LIMD2
DHX16,ASCC3
GOLGA2P10;RP11-152F13.3,RP11-349G13.3
SLC35E1,LRP12
CHCHD5,FUNDC2
HELZ2,OASL
ST8SIA1,EVPL
PSMG1,CTD-3195I5.1
UHMK1,RP11-180C16.1
RP11-372K14.2,
INO80E,SUN1
TNK2,RP11-92C4.6
AUP1,RP11-186F10.2
RHOBTB1,NEU4
SNAI3,RP11-446H18.6
CMTM4,DHDH
CELA3A,GP2
CELA3B,GP2
SPTBN2,
NDUFA5,NF2
PRKAB1,RP11-12M9.3
GBP2,HCG4P11
ZNF641,ZC3H15
AHCTF1P1,TPBG
RP11-274B21.4,CICP22
RP11-145A3.4,PHF20
FANCD2,JMJD8
GRIK2,PEF1
RP11-160E2.17,RP11-1407O15.2
RER1,BET1L
FAM20A,SENP3-EIF4A1
AC020910.2,SUCLA2
DARS,NAV2-AS3
ENTPD6,FDFT1
CHN1,
AC017104.6,ARMCX1
MIPOL1,RN7SL838P
FAM21A,LINC00924
CSNK2B,SPOPL
NT5C3B,UBA52P8
BHMT,CACNA1A
FOXI2,RN7SL832P
MMS22L,EIF4EBP1
NLRP2,FREM3
CTB-27N1.1;LINC01187,AGAP1-IT1
CTC-559E9.6,AC132872.2
CELA3A,CTRB1
CELA3B,CTRB1
UPB1,
HOXC11,UBE2J2
RP11-876N24.2,HLA-DMB
GBE1,PTPRG
UBE2Q2,VPS72
AC010127.5;TTC21B-AS1,TMEM185B
CCDC74A,CCDC74B
LHX6,RP11-538I12.3
LINC01239;RP11-399D6.2,EXOG
EYA1,PRRX1
RP11-181G12.2,KIAA0196
CILP,ELN
LBH,CD151
RP11-789C17.1,MRPS16
ACSM6;C10orf129,RP11-62J1.3
LINC01133;RP11-48O20.4,CALHM3
RP11-138B4.1,HAVCR1
RP11-855A2.3,PRKCH
TPI1P1,TPI1
AC018638.1,LINC00999
RP11-81A22.5,
ASH2L,CXorf40B
NRXN1,SOX10
PANK3,HOXC9
RP11-259O2.1,
MAP6,PPP1R3F
SFSWAP,IFITM2
HTRA2,RP11-55K13.1
RP11-589P10.5,CARD11
RP5-894A10.6,ZNF467
RP5-894A10.2,ZNF467
NDUFC1,KRTCAP3
DACT3-AS1,ROR1
PNLIPRP1,CLPS
RP11-421F16.3,ZC3H10
CERS4,NPIPB15
MSR1,RP1-124C6.1
DNAJC13,OXSR1
ILK,LINC00657
AL590822.2,MRS2
SEC62,PPHLN1
D2HGDH,WDR91
CTD-2245E15.3,FOXO4
C12orf23;TMEM263,SLC8A2
BDNF-AS,ZNFX1
ZBED5-AS1,MKNK1-AS1
USP24,CYP51A1P2
RPF2,DAZAP1
ZNF775,AC092594.1;LINC01376
FAM3B,NSA2
RPL18A,UTP23
CCT6A,DNAJB9
08-Sep,TSPAN9
FKBP15,MOAP1
RP11-809O17.1,RPL7AP11
RTN4RL1,KRBOX4
FKBP10,RP11-720L2.4
AL161915.1,ZNF23
ULK4P3,
KLC1,CTD-2269F5.1
TTLL1,CTD-2659N19.10
RAPGEF4,MTM1
DNLZ,NT5CP1
UPF3A,AMDHD1
TBC1D10C,ACSL4
RNPEP,CD48
RP11-689P11.3,SLPI
SMARCA5,PLAC9
PANK2,FOXF2
TWISTNB,IFT22;RABL5
NPY2R,BTBD19
CAMLG,C17orf103
SLC27A6,RP11-381K20.2
CEP44,C5orf17
RAB38,RP5-1142A6.5
NUCKS1,ZNF574
CTD-2589H19.6,PPRC1
CSNK2B,LTB4R
NUTM2G,SEC61A1
ADCY4,RP11-103J8.1
HRNR,NXPE4
ZFAND4,RP11-485G4.2
D2HGDH,TIMP4
ZFP62,SEPT7P7
RP11-343H19.2,IL1RAP
MT1X,IL1RAP
LZTR1,WIPI2
CTD-2568A17.5,DUSP28
ADD2,TSPAN1
ZBTB32,RP11-864G5.3
ZBED5,C19orf55;PROSER3
AC005104.3,DDX56
RP3-408N23.4,ATP6V0B
FNBP1,ANO9
RP11-529H20.5,APOBR
CTD-2562J17.7,LPIN1
C6orf165,DDI2
EEFSEC,N6AMT1
BMP3,JOSD2
CTSC,PGM5-AS1
PWP2,ZNF76
BBOF1;CCDC176,SUPV3L1
AC005484.5,SUPV3L1
LSM2,GPR68
RP11-855A2.3,ACER2
ASXL1,CTD-2545M3.8
TOMM34,ALDH8A1
LINC01235;RP11-536O18.2,STMN4
CTD-2083E4.5,ENO1P1
MTHFSD,ZNF664
FAHD2CP,ALKBH8
BOP1,CRACR2B;EFCAB4A
CHCHD2,TCTEX1D1
OAS2,IRF7
AKAP7,TAS2R46
RP11-806H10.4,SIL1
RAB38,RP11-523G9.3
RP11-1109F11.3,FMO4
ACO2,CTD-2521M24.11
CTD-2517M22.14,FAM134B
NUDCD3,TMOD4
RHOT2,CD58
TPT1-AS1,ADAMTS12
RAB40C,
TP53BP2,RP11-305K5.1
RP11-96L14.7,CAPN14
ITGAD,AJ239321.3
SCAF8,TST
ACTR3C,RP11-83J16.1
PRKAA1,MARK3
PHYHD1,RPL6P27
ZDHHC20P1,AC007000.11
C8orf46,PLCL2
MAP7,ZNF767;ZNF767P
RP11-420K14.1,RP4-694B14.5;ZNF337-AS1
CACNA1G-AS1,ETF1
RP11-53B2.2,RP11-627G18.1
KIAA1468,MIAT
PTK7,AK9
ARHGEF26,KLHL22
TSHR,SATB1
UBR2,BLOC1S2
EIF2D,FADS1
RP11-789C17.1,
RP4-800J21.3,CNN2P8
LRRCC1,TRDV2
EVI5L,SLC12A7
WRAP73,CHMP2B
ANKRD20A4,RP11-236F9.2
ANKRD20A1,RP11-236F9.2
OR7M1P,WIPI1
KRT7,
TMEM87B,GAPDH
CLEC4F,AC021593.1
PNLIPRP1,GP2
FICD,SRPRB
MLLT4,SGCB
LIG1,RPL7AP6
THAP3,TMED10
CTD-3080P12.3,SMU1
CTB-25B13.9,PIK3C2A
SEPT7P2,ITGAL
PSME1,TRIM69
RP11-148L24.1,RP11-589M4.4
PRICKLE2,CDH26
XXbac-BPG300A18.13,RNF5P1
ID4,RIMS3
EFHB,RAB30-AS1
TMEM206,PRPF39
SLC23A3,SLIRP
ATPAF2,FCGR1B
PAPSS2,CD47
MRPS31P4,SPECC1
TMEM236,RPL5
AOC4P,NEK10
PRG2,C12orf76
CDC25B,ZNF274
MUT,RPL41
STRAP,ODC1
ZNF681,DNAH11
WWP2,DUSP8
C2CD5,PARD3
SLC24A3,RP11-531A24.5
ABCF1,IQCE
GLO1,RP4-584D14.5
C14orf132,CPED1
AF131216.6,KIN
RP11-108K14.4,POU3F2
ZCWPW1,RP11-341G23.4
NOTCH2NL,ZNF618
GLUD1P2,RP11-38L15.3
SBNO2,RALGDS
LSM2,CACYBPP2
YY1,KIAA1671
RP5-1142A6.5,ODF1
AL590822.2,SPCS3
AGTPBP1,KATNB1
PHACTR3,SPRY4
CNBD2,FBXW4P1
PGK2,PLXNB1
CTD-2248H3.1,ZFYVE1
CHI3L1,CTD-3051D23.1
ACADS,KLHL20
STOML1,LINC00304
SND1,NACA
TPD52L1,RPS7P10
ADAMTS9-AS2,MAP1LC3B2
MRPL48,TSKS
CRLF3,SUZ12
MAP1LC3A,BCL9P1
AAED1,RAP2C-AS1
C22orf34,TFAP2E
LINC01515;RP11-222A11.1,HMGB1P21
CCDC17,RP11-358B23.1
PGK2,C10orf62
CCDC66,RP3-332B22.1
MCRS1,RNF123
POLR2J4,RAB3GAP2
C2CD3,ENAM
RP11-138I18.1,RP11-295G20.2
PRPH,DAAM1
KCTD21-AS1,C2orf82
VRK2,OTUD1
RP11-578O24.2,UBQLN2
AGBL3,ZNF704
ANK1,TRAV1-2
RP11-333E1.2,CORO1B
ITGB1,RP11-77E14.2
ZNF615,ZNF445
RP1-27K12.4,TFAP2B
PIH1D1,CXorf40A
MTFR1,KAT7
GOLGA6L3,
ANAPC7,RP11-452H21.1
STK24,TRAF3IP2
FGF14-AS2,CIB4
RPS25,CTD-2287O16.1
LINC01372;RP11-166O4.5,AQP5
COL4A2-AS1,RP11-330M19.1
GALNT3,TIGIT
RPSA,RPSAP19
RPS28,AC018738.2
RP11-592B15.4,AGAP4
RPL13,RPL13P12
RPS2,RPS2P5
LGALS9C,USP32P1
RP11-423H2.1,THOC3
RPS2,RPS2P46
AC018638.1,CICP13
RP11-274B21.1,CICP13
RP11-274B21.3,CICP13
RP11-274B21.2,CICP13
RP11-274B21.4,CICP13
RALGAPA1,RALGAPA1P
DHFR,DHFRP1
ZNF322,ZNF322P1
RP11-457M11.2,ZNF322P1
KANSL1,
SYNC,ZBTB8OSP2
RPS18,
MTRF1L,RP11-756P10.3
RPSA,RPSAP15
RP11-958N24.2,PKD1P5
BAK1,BAK1P1
FAM35A,FAM35BP
GTF2H2,RP11-195E2.1
AC018638.1,CICP5
RP11-274B21.1,CICP5
RP11-274B21.3,CICP5
RP11-274B21.2,CICP5
RP11-274B21.4,CICP5
RP11-958N24.2,NPIPA8
RP11-274B21.1,CICP26
RP11-274B21.3,CICP26
RP11-274B21.2,CICP26
RP11-274B21.4,CICP26
TUBGCP3,LINC00431
RP11-958N24.2,
UBE2Q2P1,RP13-996F3.4
CCDC144B,USP32P1
RP11-399F4.2,GXYLT1P6
RP11-399F4.2,CNN2P3
PKD1P1,NPIPA8
AC138969.4,NPIPA8
RP11-497H16.4,RP11-195E2.1
ANKRD20A7P,
NOTCH4,RNF5P1
RPL12,RPL12P16
PYROXD1,RP11-819M15.1
CR848007.2,
EIF3F,EIF3FP3
ANKRD20A1,ANKRD20A2
RPS26,
RPS26,
CHRFAM7A,CHRNA7
BCR,BCRP2
RP11-1000B6.3,RP11-932O9.9
GTF2H2B,OCLN
RP11-195E2.1,OCLN
FAM86B3P,AF131215.9
ARL17B,
H3F3A,H3F3AP4
NSA2,
RPS13,RP11-159C21.4;RPS13P2
C1RL-AS1,SLC6A15
SPTLC1,RP5-1050D4.3
RTN1,RP1-293L6.1
FILIP1L,RP11-413H22.2
LMBRD1,POLR1A
DZIP1L,CLEC4F
TBCK,RP11-462D18.2
RP11-257I8.2,C9orf173
MIR3916,RP5-828H9.1
FGFR3,
08-Mar,AGAP7
PPDPF,SLC7A6OS
A2ML1-AS1,RP13-820C6.2
RIMKLB,RP13-820C6.2
AC079305.11,HOXD8
TNXA,RNF5P1
RP11-958N24.2,RP11-304L19.2
LINC00941,LINC00939
AGAP9,RP11-144G6.12
WDR18,AC005253.2
ZNF76,PMP22
LINC00323,RAB5C
GLUD1P2,HNRNPA1P33
PPIA,PPIAP22
AC114730.8,RP11-186N15.3
RAB3IP,TMEM11
NCLN,USF1
AC005944.2,DYRK2
AKAP3,HSD17B2
FMO2,UHRF1
NOMO3,NPIPA8
SDHAP3,PREX2
AC079305.11,HOXD9
ZNF25,ATP2B2
NEU4,RAB1B
CICP14,CICP13
AC069213.1;MUC20P1,AC024560.2
SRGAP2C,RP11-166B2.5
ADAL,CNGA3
RP11-3J10.4;TMX2P1,CTD-3025N20.3
MMP24-AS1,ATG2A
